run_name,path,n,orig_acc_pct,orig_acc_ci95_low_pct,orig_acc_ci95_high_pct,swap_acc_pct,swap_acc_ci95_low_pct,swap_acc_ci95_high_pct,order_avg_acc_pct,order_avg_acc_ci95_low_pct,order_avg_acc_ci95_high_pct,consistency_pct,consistency_ci95_low_pct,consistency_ci95_high_pct,strict_consistency_pct,strict_consistency_ci95_low_pct,strict_consistency_ci95_high_pct,first_pos_rate_pct,first_pos_rate_ci95_low_pct,first_pos_rate_ci95_high_pct,orig_first_rate_pct,orig_first_rate_ci95_low_pct,orig_first_rate_ci95_high_pct,swap_first_rate_pct,swap_first_rate_ci95_low_pct,swap_first_rate_ci95_high_pct,position_bias_pct,position_bias_ci95_low_pct,position_bias_ci95_high_pct,tie_rate_pct,tie_rate_ci95_low_pct,tie_rate_ci95_high_pct,parse_fail_rate_pct,parse_fail_rate_ci95_low_pct,parse_fail_rate_ci95_high_pct
DPO_qwen3_8b_balanced,results/DPO_qwen3_8b_balanced/eval/eval_results.json,449,88.64142538975501,85.37279889570007,91.25446065418076,79.06458797327394,75.06273116229902,82.57333437810126,83.85300668151447,,,85.30066815144765,81.72612361899996,88.27630081129462,84.85523385300668,81.24458304301044,87.874530038006,53.56347438752784,50.293288383671154,56.803302638401675,88.64142538975501,85.37279889570007,91.25446065418076,18.485523385300667,15.167614879301217,22.338107159268596,8.908685968819599,,,2.6726057906458798,1.8024583462035566,3.945942141891696,0.0,4.336808689942018e-17,0.4259572215406312
DPO_qwen3_8b_unbalanced,results/DPO_qwen3_8b_unbalanced/eval/eval_results.json,449,89.30957683741649,86.11073146833985,91.84149510545822,75.27839643652561,71.08490333051233,79.04301574102354,82.29398663697106,,,81.29175946547885,77.42469430443273,84.62792798235837,80.84632516703786,76.95086288804977,84.21844804946318,55.790645879732736,52.52457483912212,59.00738557174623,89.30957683741649,86.11073146833985,91.84149510545822,22.271714922049,18.667582024785663,26.346286482648562,12.91759465478842,,,2.0044543429844097,1.271615021608166,3.146174649848431,0.0,4.336808689942018e-17,0.4259572215406312
DPO_unbalanced,results/DPO_unbalanced/eval/eval_results.json,449,94.20935412026726,91.65065711769283,96.01799429816509,50.33407572383074,45.72618069670318,54.93630281525546,72.271714922049,,,54.342984409799556,49.71823688124932,58.894048774212784,53.00668151447662,48.384275861389355,57.578075746238255,69.37639198218262,66.2844533546554,72.30326032786562,94.20935412026726,91.65065711769283,96.01799429816509,44.543429844098,40.01182609219904,49.167609879143455,40.75723830734967,,,3.78619153674833,2.721914545485486,5.244170637007525,0.0,4.336808689942018e-17,0.4259572215406312
EXP-006_accuracy_only,results/EXP-006_accuracy_only/eval/eval_results.json,449,94.43207126948775,91.90984287477146,96.20046421572553,56.792873051224944,52.17241943260077,61.298078643891266,75.61247216035635,,,60.801781737193764,56.212802268652105,65.2074979513434,60.13363028953229,55.537257350920974,64.55807584515728,67.37193763919822,64.23706910140962,70.35881213119542,94.43207126948775,91.90984287477146,96.20046421572553,40.31180400890869,35.87535483269768,44.912623320502234,35.634743875278396,,,2.0044543429844097,1.271615021608166,3.146174649848431,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt100,results/EXP-006_accuracy_only/eval_ckpt100/eval_results.json,449,85.96881959910914,82.45033593431117,88.87705551990068,74.16481069042317,69.92299061057416,77.99665008776631,80.06681514476614,,,80.84632516703786,76.95086288804977,84.21844804946318,79.06458797327394,75.06273116229902,82.57333437810126,53.786191536748326,50.516123504757395,57.02400445619499,85.96881959910914,82.45033593431117,88.87705551990068,21.603563474387528,18.046396928816545,25.642504554700423,10.46770601336303,,,3.6748329621380846,2.628479943943364,5.115836769109872,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt200,results/EXP-006_accuracy_only/eval_ckpt200/eval_results.json,449,89.086859688196,85.86439080901583,91.64618009014318,70.37861915367483,65.99688534625683,74.41460888321924,79.73273942093542,,,76.83741648106904,72.71751931344575,80.5019894805637,75.7238307349666,71.55064303783799,79.46058738297604,57.12694877505567,53.86649907582001,60.32668296832565,89.086859688196,85.86439080901583,91.64618009014318,25.16703786191537,21.37511772214001,29.38027455560229,15.590200445434299,,,2.89532293986637,1.9833884264571322,4.208549000517673,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt300,results/EXP-006_accuracy_only/eval_ckpt300/eval_results.json,449,92.20489977728286,89.35181703153312,94.34193331257306,60.57906458797328,55.98752374081089,64.99112080454553,76.39198218262806,,,65.25612472160356,60.73924061958831,69.51417309318883,64.14253897550111,59.60383251871043,68.44130282087131,63.69710467706013,60.49978120938321,66.77774053170923,92.20489977728286,89.35181703153312,94.34193331257306,35.18930957683742,30.914663895934503,39.715233740566525,28.953229398663698,,,2.89532293986637,1.9833884264571322,4.208549000517673,0.0,4.336808689942018e-17,0.4259572215406312
EXP-006_accuracy_s2,results/EXP-006_accuracy_s2/eval/eval_results.json,449,95.54565701559021,93.22032695148201,97.0982585122104,48.775055679287306,44.18165439234296,53.3892393971421,72.16035634743875,,,51.67037861915368,47.05359453623442,56.258823023558705,50.33407572383074,45.72618069670318,54.93630281525546,72.0489977728285,69.02473293616353,74.8854240129121,95.54565701559021,93.22032695148201,97.0982585122104,48.55233853006681,43.96137032927271,53.167867785573264,46.10244988864143,,,2.4498886414253898,1.6233517380827296,3.68151181113297,0.0,4.336808689942018e-17,0.4259572215406312
EXP-006_accuracy_s3,results/EXP-006_accuracy_s3/eval/eval_results.json,449,94.20935412026726,91.65065711769283,96.01799429816509,61.46993318485523,56.889222665137474,65.85604457877527,77.83964365256125,,,66.815144766147,62.333226476681915,71.01177695856882,66.14699331848553,61.64945034835767,70.37058606297582,64.92204899777283,61.7432824648117,67.97369244011827,94.20935412026726,91.65065711769283,96.01799429816509,35.634743875278396,31.343916296928764,40.16929268885042,30.734966592427615,,,1.893095768374165,1.1852661691031785,3.0107550329136425,0.0,4.336808689942018e-17,0.4259572215406312
EXP-006b_accuracy_balanced,results/EXP-006b_accuracy_balanced/eval/eval_results.json,449,85.96881959910914,82.45033593431117,88.87705551990068,82.40534521158129,78.61263428174468,85.64826637824186,84.18708240534521,,,84.85523385300668,81.24458304301044,87.874530038006,83.74164810690424,80.04491053127845,86.86592417654258,50.66815144766147,47.40232562702292,53.928285189615735,85.96881959910914,82.45033593431117,88.87705551990068,15.367483296213807,12.326721906057234,18.99582068756542,3.11804008908686,,,2.0044543429844097,1.271615021608166,3.146174649848431,0.0,4.336808689942018e-17,0.4259572215406312
EXP-006b_accuracy_balanced_s2,results/EXP-006b_accuracy_balanced_s2/eval/eval_results.json,449,82.62806236080178,78.85082053262109,85.85173580200453,80.17817371937639,76.24149303477404,83.60285087882167,81.40311804008908,,,83.96436525612472,80.28438373500238,87.06810664745771,83.29621380846325,79.56662971063326,86.46089364790959,49.77728285077951,46.51499385131392,53.041469209806536,82.62806236080178,78.85082053262109,85.85173580200453,16.926503340757236,13.74194737477134,20.672184941324893,0.8908685968819599,,,2.0044543429844097,1.271615021608166,3.146174649848431,0.0,4.336808689942018e-17,0.4259572215406312
EXP-006b_accuracy_balanced_s3,results/EXP-006b_accuracy_balanced_s3/eval/eval_results.json,449,83.29621380846325,79.56662971063326,86.46089364790959,79.9554565701559,76.00539434363859,83.39729389531804,81.62583518930958,,,84.4097995545657,80.76401423028912,87.47178750144914,83.51893095768375,79.80566038187929,86.66351865130265,50.445434298440986,47.180395968975866,53.70667790878324,83.29621380846325,79.56662971063326,86.46089364790959,17.59465478841871,14.351733621758155,21.38736571825533,2.89532293986637,,,2.5612472160356345,1.7126634476308589,3.8139685710246174,0.0,4.336808689942018e-17,0.4259572215406312
EXP-007a_acc_decisive,results/EXP-007a_acc_decisive/eval/eval_results.json,449,94.65478841870824,92.16992516099673,96.38203760413934,57.23830734966593,52.619839295881185,61.733970129889016,75.94654788418708,,,61.69265033407573,57.114892079332314,66.07203083921954,61.02449888641426,56.43817806692337,65.42377782771123,67.48329621380846,64.35064375315453,70.46700594889029,94.65478841870824,92.16992516099673,96.38203760413934,40.31180400890869,35.87535483269768,44.912623320502234,36.080178173719375,,,1.7817371937639197,1.0996545907601618,2.8745981418168833,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt100,results/EXP-007a_acc_decisive/eval_ckpt100/eval_results.json,449,85.30066815144765,81.72612361899996,88.27630081129462,73.4966592427617,69.2274664625135,77.36720721190973,79.39866369710468,,,81.29175946547885,77.42469430443273,84.62792798235837,79.06458797327394,75.06273116229902,82.57333437810126,53.11804008908686,49.847812973136804,56.36170417117692,85.30066815144765,81.72612361899996,88.27630081129462,20.93541202672606,17.42666562189874,24.937268837700984,9.131403118040089,,,4.120267260579064,3.0038505455770017,5.627540045235337,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt200,results/EXP-007a_acc_decisive/eval_ckpt200/eval_results.json,449,89.97772828507794,86.85205237178215,92.42514122593317,68.8195991091314,64.39046476848989,72.92943973851258,79.39866369710468,,,75.94654788418708,71.78372678245738,79.66915931299575,75.05567928730513,70.85224478624534,78.83401861065146,59.13140311804009,55.883883001425794,62.30113149263583,89.97772828507794,86.85205237178215,92.42514122593317,28.28507795100223,24.317009590612535,32.62156213207692,19.821826280623608,,,2.338530066815145,1.5345542707359818,3.5485408090399426,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt300,results/EXP-007a_acc_decisive/eval_ckpt300/eval_results.json,449,93.54120267260579,90.87803447137479,95.46564992056588,61.69265033407573,57.114892079332314,66.07203083921954,77.61692650334075,,,65.47884187082406,60.96663471404307,69.72843467337317,65.03340757238307,60.51195128855581,69.29980674958226,64.47661469933185,61.29084354478288,67.53905748238799,93.54120267260579,90.87803447137479,95.46564992056588,35.4120267260579,31.129238391940884,39.94231491919922,30.066815144766146,,,2.0044543429844097,1.271615021608166,3.146174649848431,0.0,4.336808689942018e-17,0.4259572215406312
EXP-007a_acc_decisive_s2,results/EXP-007a_acc_decisive_s2/eval/eval_results.json,449,93.0957683741648,90.36668375472473,95.09368928793776,64.81069042316258,60.28476625943349,69.0853361040655,78.9532293986637,,,70.8240534521158,66.45691967861617,74.83788590013805,69.93318485523386,65.53732572983016,73.99085715036775,62.58351893095768,59.37122863696407,65.6886084097306,93.0957683741648,90.36668375472473,95.09368928793776,32.071269487750556,27.921745010227163,36.5249731813267,26.50334075723831,,,2.2271714922048997,1.4463056602905817,3.4150209500455673,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt100,results/EXP-007a_acc_decisive_s2/eval_ckpt100/eval_results.json,449,83.07349665924276,79.32781505867511,86.25805262522867,75.50111358574611,71.31770232259382,79.25187242358115,79.28730512249443,,,82.40534521158129,78.61263428174468,85.64826637824186,79.9554565701559,76.00539434363859,83.39729389531804,51.224944320712694,47.957431941054566,54.482021222782976,83.07349665924276,79.32781505867511,86.25805262522867,19.37639198218263,15.98656975813203,23.285774978994116,5.79064587973274,,,4.342984409799555,3.193065827950082,5.881861701741809,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt200,results/EXP-007a_acc_decisive_s2/eval_ckpt200/eval_results.json,449,88.19599109131403,84.88259908259973,90.86134911800293,69.48775055679288,65.07823482163822,73.56663670928151,78.84187082405344,,,75.05567928730513,70.85224478624534,78.83401861065146,73.94209354120267,69.69101619358831,77.78696883011307,57.01559020044543,53.75458101189228,60.21683256281361,88.19599109131403,84.88259908259973,90.86134911800293,25.83518930957684,22.003349912233706,30.077009389425847,15.812917594654788,,,3.229398663697105,2.2577874233963056,4.599455411897828,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt300,results/EXP-007a_acc_decisive_s2/eval_ckpt300/eval_results.json,449,90.64587973273942,87.59705795623012,93.00510266540245,69.48775055679288,65.07823482163822,73.56663670928151,80.06681514476614,,,74.83296213808464,70.61972544439772,78.62488227786,73.71937639198218,69.45917517187284,77.57715417718946,58.9086859688196,55.659460073120826,62.08201748206125,90.64587973273942,87.59705795623012,93.00510266540245,27.171492204899778,23.263417092317546,31.466876257176494,19.37639198218263,,,2.6726057906458798,1.8024583462035566,3.945942141891696,0.0,4.336808689942018e-17,0.4259572215406312
EXP-007b_decisive_balanced,results/EXP-007b_decisive_balanced/eval/eval_results.json,449,83.51893095768375,79.80566038187929,86.66351865130265,79.51002227171492,75.53372060995905,82.9856562797194,81.51447661469933,,,81.73719376391982,77.89928337893373,85.03665025713555,80.84632516703786,76.95086288804977,84.21844804946318,50.66815144766147,47.40232562702292,53.928285189615735,83.51893095768375,79.80566038187929,86.66351865130265,17.817371937639198,14.555406302204975,21.62534871244759,3.78619153674833,,,2.2271714922048997,1.4463056602905817,3.4150209500455673,0.11135857461024498,0.01966022820386773,0.6280654627765395
EXP-008_acc_calib,results/EXP-008_acc_calib/eval/eval_results.json,449,95.10022271714922,92.69298908692544,96.74228502748879,58.35189309576837,53.740028508244286,62.82205929072131,76.7260579064588,,,61.69265033407573,57.114892079332314,66.07203083921954,60.801781737193764,56.212802268652105,65.2074979513434,66.59242761692651,63.44259059545148,69.60091135107514,95.10022271714922,92.69298908692544,96.74228502748879,38.084632516703785,33.71208139948463,42.65934000732446,34.74387527839644,,,2.6726057906458798,1.8024583462035566,3.945942141891696,0.0,4.336808689942018e-17,0.4259572215406312
EXP-008_acc_calib_s2,results/EXP-008_acc_calib_s2/eval/eval_results.json,449,95.7683741648107,93.48577870287843,97.27446243545303,47.88418708240535,43.30106255696658,52.50320853396215,71.82628062360801,,,50.55679287305123,45.94718973503794,55.15694945155977,49.665924276169264,45.063697184744555,54.27381930329683,72.271714922049,69.25365384242896,75.10004004552621,95.7683741648107,93.48577870287843,97.27446243545303,48.775055679287306,44.18165439234296,53.3892393971421,45.87973273942094,,,2.4498886414253898,1.6233517380827296,3.68151181113297,0.0,4.336808689942018e-17,0.4259572215406312
EXP-008b_calib_balanced,results/EXP-008b_calib_balanced/eval/eval_results.json,449,84.63251670378618,81.00417931243457,87.67327809394277,80.17817371937639,76.24149303477404,83.60285087882167,82.40534521158129,,,82.62806236080178,78.85082053262109,85.85173580200453,81.9599109131403,78.13686860496462,85.24072070574374,51.00222717149221,47.7353410346654,54.260575190292585,84.63251670378618,81.00417931243457,87.67327809394277,17.37193763919822,14.148264197995475,21.149179467378925,3.78619153674833,,,2.1158129175946545,1.3586446842624376,3.2809134566339355,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009_full_composite,results/EXP-009_full_composite/eval/eval_results.json,449,93.98663697104676,91.39232144227624,95.83467429894257,57.23830734966593,52.619839295881185,61.733970129889016,75.61247216035635,,,61.69265033407573,57.114892079332314,66.07203083921954,61.02449888641426,56.43817806692337,65.42377782771123,67.37193763919822,64.23706910140962,70.35881213119542,93.98663697104676,91.39232144227624,95.83467429894257,40.75723830734967,36.30916912636766,45.36212037611042,35.4120267260579,,,1.447661469933185,0.8479463819163684,2.4610009423413493,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt100,results/EXP-009_full_composite/eval_ckpt100/eval_results.json,449,84.63251670378618,81.00417931243457,87.67327809394277,73.94209354120267,69.69101619358831,77.78696883011307,79.28730512249443,,,81.73719376391982,77.89928337893373,85.03665025713555,80.17817371937639,76.24149303477404,83.60285087882167,53.4521158129176,50.181895188414295,56.69292736421876,84.63251670378618,81.00417931243457,87.67327809394277,22.271714922049,18.667582024785663,26.346286482648562,9.57683741648107,,,3.229398663697105,2.2577874233963056,4.599455411897828,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt200,results/EXP-009_full_composite/eval_ckpt200/eval_results.json,449,90.8685968819599,87.84627045589572,93.19754584037592,68.59688195991092,64.16143635932966,72.71681247303377,79.73273942093542,,,74.61024498886414,70.38734408865221,78.4156079589664,73.71937639198218,69.45917517187284,77.57715417718946,59.79955456570156,56.55755941577203,62.958065894928254,90.8685968819599,87.84627045589572,93.19754584037592,28.73051224944321,24.73931807314904,33.082564998818576,21.158129175946545,,,2.1158129175946545,1.3586446842624376,3.2809134566339355,0.0,4.336808689942018e-17,0.4259572215406312
eval_ckpt300,results/EXP-009_full_composite/eval_ckpt300/eval_results.json,449,93.54120267260579,90.87803447137479,95.46564992056588,61.46993318485523,56.889222665137474,65.85604457877527,77.50556792873051,,,65.92427616926503,61.42173909084029,70.1566416458541,65.03340757238307,60.51195128855581,69.29980674958226,64.92204899777283,61.7432824648117,67.97369244011827,93.54120267260579,90.87803447137479,95.46564992056588,36.30289532293987,31.98856619577526,40.84960981392117,31.180400890868597,,,2.1158129175946545,1.3586446842624376,3.2809134566339355,0.0,4.336808689942018e-17,0.4259572215406312
eval_step300,results/EXP-009_full_composite/eval_step300/eval_results.json,449,94.20935412026726,91.65065711769283,96.01799429816509,62.58351893095768,58.018558034597454,66.9349875825107,78.39643652561247,,,67.48329621380846,63.01797731121822,71.65199314794975,66.815144766147,62.333226476681915,71.01177695856882,64.69933184855235,61.51702611014922,67.7564118559012,94.20935412026726,91.65065711769283,96.01799429816509,35.18930957683742,30.914663895934503,39.715233740566525,30.28953229398664,,,1.55902004454343,0.9309131232202357,2.5998026704772577,0.0,4.336808689942018e-17,0.4259572215406312
eval_step400,results/EXP-009_full_composite/eval_step400/eval_results.json,449,95.32293986636972,92.95608978795484,96.92084000109848,59.24276169265033,54.63787962388958,63.69083087363235,77.28285077951003,,,63.474387527839646,58.923821829551116,67.79634648611339,62.58351893095768,58.018558034597454,66.9349875825107,66.70378619153675,63.556029580935714,69.70924083503067,95.32293986636972,92.95608978795484,96.92084000109848,38.084632516703785,33.71208139948463,42.65934000732446,34.29844097995546,,,1.7817371937639197,1.0996545907601618,2.8745981418168833,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009_full_composite_s2,results/EXP-009_full_composite_s2/eval/eval_results.json,449,95.99109131403118,93.75253300674635,97.44936380622423,42.53897550111358,38.04822428144267,47.156310618148076,69.26503340757239,,,45.211581291759465,40.66802550454763,49.83637749071211,44.32071269487751,39.79327723254871,48.944503064154695,75.27839643652561,72.35315686861358,77.98828569421552,95.99109131403118,93.75253300674635,97.44936380622423,54.56570155902004,49.940883829052154,59.11305750104901,52.11581291759465,,,2.2271714922048997,1.4463056602905817,3.4150209500455673,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009_full_composite_s3,results/EXP-009_full_composite_s3/eval/eval_results.json,449,94.20935412026726,91.65065711769283,96.01799429816509,59.02004454342984,54.413274325711484,63.47378049717136,76.61469933184856,,,63.69710467706013,59.15039018607884,68.01143380422474,63.474387527839646,58.923821829551116,67.79634648611339,66.48106904231625,63.32917079530681,69.49256268178,94.20935412026726,91.65065711769283,96.01799429816509,38.75278396436526,34.36003986205079,43.33634856867555,33.630289532293986,,,1.3363028953229399,0.7660489245497965,2.3211299302681456,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009_full_lr1e5,results/EXP-009_full_lr1e5/eval/eval_results.json,449,98.88641425389754,97.419989904477,99.52343067880162,36.97104677060133,32.6341317972974,41.52901123631628,67.92873051224944,,,38.084632516703785,33.71208139948463,42.65934000732446,37.639198218262806,33.280602689065915,42.207507368465,80.51224944320712,77.79381126764187,82.97074935885672,98.88641425389754,97.419989904477,99.52343067880162,62.1380846325167,57.566526731842856,66.50370753598713,61.46993318485523,,,0.6681514476614699,0.3065690144914669,1.4499990236878195,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009_full_lr1e6,results/EXP-009_full_lr1e6/eval/eval_results.json,449,83.74164810690424,80.04491053127845,86.86592417654258,76.16926503340757,72.01695489447756,79.87758687561465,79.9554565701559,,,83.29621380846325,79.56662971063326,86.46089364790959,80.84632516703786,76.95086288804977,84.21844804946318,51.00222717149221,47.7353410346654,54.260575190292585,83.74164810690424,80.04491053127845,86.86592417654258,18.262806236080177,14.963349742864457,22.100716621066276,5.56792873051225,,,4.67706013363029,3.4785990928629253,6.2616338451482925,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009_full_lr2e6,results/EXP-009_full_lr2e6/eval/eval_results.json,449,85.74610244988864,82.20867191012977,88.67706386944299,73.2739420935412,68.99588900708727,77.15712899269685,79.51002227171492,,,81.06904231625836,77.18768516358507,84.42328144856697,79.73273942093542,75.76947091209027,83.19156165222725,54.342984409799556,51.07349595357431,57.57547435457695,85.74610244988864,82.20867191012977,88.67706386944299,22.93986636971047,19.290174478422536,27.048661052928935,11.1358574610245,,,3.0066815144766146,2.074475270756823,4.339230625657757,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009_full_lr3e6,results/EXP-009_full_lr3e6/eval/eval_results.json,449,89.97772828507794,86.85205237178215,92.42514122593317,70.15590200445433,65.76704658013321,74.20279197470376,80.06681514476614,,,75.7238307349666,71.55064303783799,79.46058738297604,75.27839643652561,71.08490333051233,79.04301574102354,58.240534521158125,54.986596564535084,61.424270174008335,89.97772828507794,86.85205237178215,92.42514122593317,26.50334075723831,22.63279278809029,30.772533537486506,17.37193763919822,,,2.1158129175946545,1.3586446842624376,3.2809134566339355,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009_full_s4,results/EXP-009_full_s4/eval/eval_results.json,449,94.43207126948775,91.90984287477146,96.20046421572553,60.57906458797328,55.98752374081089,64.99112080454553,77.50556792873051,,,64.3652561247216,59.83070731114958,68.65608370307125,63.69710467706013,59.15039018607884,68.01143380422474,66.14699331848553,62.98902603628525,69.16740203248224,94.43207126948775,91.90984287477146,96.20046421572553,37.8619153674833,33.49629246401286,42.433473268157144,33.18485523385301,,,1.447661469933185,0.8479463819163684,2.4610009423413493,0.0,4.336808689942018e-17,0.4259572215406312
EXP-009b_full_balanced,results/EXP-009b_full_balanced/eval/eval_results.json,449,84.63251670378618,81.00417931243457,87.67327809394277,82.40534521158129,78.61263428174468,85.64826637824186,83.51893095768375,,,85.30066815144765,81.72612361899996,88.27630081129462,84.85523385300668,81.24458304301044,87.874530038006,50.11135857461024,46.84762237858575,53.374146090854026,84.63251670378618,81.00417931243457,87.67327809394277,15.590200445434299,12.528212498550866,19.235985769710872,1.55902004454343,,,1.670378619153675,1.0148451771315772,2.737639086005693,0.0,4.336808689942018e-17,0.4259572215406312
