section,name,n_runs,runs,missing_runs,orig_acc_mean_pct,orig_acc_seed_std_pct,orig_acc_ci95_low_pct,orig_acc_ci95_high_pct,swap_acc_mean_pct,swap_acc_seed_std_pct,swap_acc_ci95_low_pct,swap_acc_ci95_high_pct,order_avg_acc_mean_pct,order_avg_acc_seed_std_pct,order_avg_acc_ci95_low_pct,order_avg_acc_ci95_high_pct,consistency_mean_pct,consistency_seed_std_pct,consistency_ci95_low_pct,consistency_ci95_high_pct,strict_consistency_mean_pct,strict_consistency_seed_std_pct,strict_consistency_ci95_low_pct,strict_consistency_ci95_high_pct,first_pos_rate_mean_pct,first_pos_rate_seed_std_pct,first_pos_rate_ci95_low_pct,first_pos_rate_ci95_high_pct,orig_first_rate_mean_pct,orig_first_rate_seed_std_pct,orig_first_rate_ci95_low_pct,orig_first_rate_ci95_high_pct,swap_first_rate_mean_pct,swap_first_rate_seed_std_pct,swap_first_rate_ci95_low_pct,swap_first_rate_ci95_high_pct,position_bias_mean_pct,position_bias_seed_std_pct,position_bias_ci95_low_pct,position_bias_ci95_high_pct,tie_rate_mean_pct,tie_rate_seed_std_pct,tie_rate_ci95_low_pct,tie_rate_ci95_high_pct,parse_fail_rate_mean_pct,parse_fail_rate_seed_std_pct,parse_fail_rate_ci95_low_pct,parse_fail_rate_ci95_high_pct
primary_unbalanced,Baseline (Qwen2.5-7B),1,baseline_qwen7b,,80.17817371937639,,76.24149303477404,83.60285087882167,75.27839643652561,,71.08490333051233,79.04301574102354,77.728285077951,,,,81.51447661469933,,77.66189284073141,84.83238512069879,79.28730512249443,,75.29814136530244,82.77957984973692,49.33184855233853,,46.071714810384265,52.597674372977075,80.17817371937639,,76.24149303477404,83.60285087882167,18.485523385300667,,15.167614879301217,22.338107159268596,2.4498886414253898,,,,5.122494432071269,,3.862194041901209,6.765112773869114,0.0,,4.336808689942018e-17,0.4259572215406312
primary_unbalanced,SFT,1,SFT_unbalanced,,100.0,,99.15169895647405,100.0,0.0,,8.673617379884035e-17,0.8483010435259591,50.0,,,,0.0,,8.673617379884035e-17,0.8483010435259591,0.0,,8.673617379884035e-17,0.8483010435259591,100.0,,99.57404277845939,100.0,100.0,,99.15169895647405,100.0,100.0,,99.15169895647405,100.0,100.0,,,,0.0,,4.336808689942018e-17,0.4259572215406312,0.0,,4.336808689942018e-17,0.4259572215406312
primary_unbalanced,DPO,1,DPO_unbalanced,,94.20935412026726,,91.65065711769283,96.01799429816509,50.33407572383074,,45.72618069670318,54.93630281525546,72.271714922049,,,,54.342984409799556,,49.71823688124932,58.894048774212784,53.00668151447662,,48.384275861389355,57.578075746238255,69.37639198218262,,66.2844533546554,72.30326032786562,94.20935412026726,,91.65065711769283,96.01799429816509,44.543429844098,,40.01182609219904,49.167609879143455,40.75723830734967,,,,3.78619153674833,,2.721914545485486,5.244170637007525,0.0,,4.336808689942018e-17,0.4259572215406312
primary_unbalanced,GRPO Acc-only,3,EXP-006_accuracy_only;EXP-006_accuracy_s2;EXP-006_accuracy_s3,,94.72902746844841,0.7159354685221198,,,55.67928730512249,6.4202829868149545,,,75.20415738678545,2.861575927573581,,,59.76243504083148,7.625691219699895,,,58.87156644394952,7.981647359823729,,,68.11432813659985,3.6210091754290095,,,94.72902746844841,0.7159354685221198,,,41.499628804751296,6.540203263322056,,,37.49072011878248,7.850055514274487,,,2.1158129175946545,0.29462709477333954,,,0.0,0.0,,
primary_unbalanced,GRPO + Decisive,2,EXP-007a_acc_decisive;EXP-007a_acc_decisive_s2,,93.87527839643653,1.1023936455024088,,,61.02449888641426,5.354483421011717,,,77.44988864142539,2.1260448877546465,,,66.25835189309576,6.456877066514126,,,65.47884187082406,6.299392260013784,,,65.03340757238307,3.464665743007584,,,93.87527839643653,1.1023936455024088,,,36.191536748329625,5.826937840512751,,,31.29175946547884,6.771846679514818,,,2.0044543429844097,0.3149696130006894,,,0.0,0.0,,
primary_unbalanced,GRPO + Conf. proxy,2,EXP-008_acc_calib;EXP-008_acc_calib_s2,,95.43429844097994,0.4724544195010335,,,53.11804008908686,7.401785905516197,,,74.2761692650334,3.464665743007584,,,56.12472160356348,7.874240325017235,,,55.233853006681514,7.87424032501723,,,69.43207126948776,4.0158625657587885,,,95.43429844097994,0.4724544195010335,,,43.42984409799555,7.559270712016543,,,40.31180400890869,7.874240325017235,,,2.5612472160356345,0.1574848065003448,,,0.0,0.0,,
primary_unbalanced,GRPO Full,4,EXP-009_full_composite;EXP-009_full_composite_s2;EXP-009_full_composite_s3;EXP-009_full_s4,,94.65478841870825,0.909238954262504,,,54.84409799554566,8.31618200501051,,,74.74944320712696,3.737154609031143,,,58.74164810690423,9.091252922889009,,,58.12917594654788,9.284928100523757,,,68.8195991091314,4.336793409631743,,,94.65478841870825,0.909238954262504,,,42.98440979955456,7.815224844050574,,,38.58574610244989,9.071225104610768,,,1.6146993318485525,0.4116754456722129,,,0.0,0.0,,
primary_lr,GRPO Full lr=1e-6,1,EXP-009_full_lr1e6,,83.74164810690424,,80.04491053127845,86.86592417654258,76.16926503340757,,72.01695489447756,79.87758687561465,79.9554565701559,,,,83.29621380846325,,79.56662971063326,86.46089364790959,80.84632516703786,,76.95086288804977,84.21844804946318,51.00222717149221,,47.7353410346654,54.260575190292585,83.74164810690424,,80.04491053127845,86.86592417654258,18.262806236080177,,14.963349742864457,22.100716621066276,5.56792873051225,,,,4.67706013363029,,3.4785990928629253,6.2616338451482925,0.0,,4.336808689942018e-17,0.4259572215406312
primary_lr,GRPO Full lr=2e-6,1,EXP-009_full_lr2e6,,85.74610244988864,,82.20867191012977,88.67706386944299,73.2739420935412,,68.99588900708727,77.15712899269685,79.51002227171492,,,,81.06904231625836,,77.18768516358507,84.42328144856697,79.73273942093542,,75.76947091209027,83.19156165222725,54.342984409799556,,51.07349595357431,57.57547435457695,85.74610244988864,,82.20867191012977,88.67706386944299,22.93986636971047,,19.290174478422536,27.048661052928935,11.1358574610245,,,,3.0066815144766146,,2.074475270756823,4.339230625657757,0.0,,4.336808689942018e-17,0.4259572215406312
primary_lr,GRPO Full lr=3e-6,1,EXP-009_full_lr3e6,,89.97772828507794,,86.85205237178215,92.42514122593317,70.15590200445433,,65.76704658013321,74.20279197470376,80.06681514476614,,,,75.7238307349666,,71.55064303783799,79.46058738297604,75.27839643652561,,71.08490333051233,79.04301574102354,58.240534521158125,,54.986596564535084,61.424270174008335,89.97772828507794,,86.85205237178215,92.42514122593317,26.50334075723831,,22.63279278809029,30.772533537486506,17.37193763919822,,,,2.1158129175946545,,1.3586446842624376,3.2809134566339355,0.0,,4.336808689942018e-17,0.4259572215406312
primary_lr,GRPO Full lr=5e-6,1,EXP-009_full_composite,,93.98663697104676,,91.39232144227624,95.83467429894257,57.23830734966593,,52.619839295881185,61.733970129889016,75.61247216035635,,,,61.69265033407573,,57.114892079332314,66.07203083921954,61.02449888641426,,56.43817806692337,65.42377782771123,67.37193763919822,,64.23706910140962,70.35881213119542,93.98663697104676,,91.39232144227624,95.83467429894257,40.75723830734967,,36.30916912636766,45.36212037611042,35.4120267260579,,,,1.447661469933185,,0.8479463819163684,2.4610009423413493,0.0,,4.336808689942018e-17,0.4259572215406312
primary_lr,GRPO Full lr=1e-5,1,EXP-009_full_lr1e5,,98.88641425389754,,97.419989904477,99.52343067880162,36.97104677060133,,32.6341317972974,41.52901123631628,67.92873051224944,,,,38.084632516703785,,33.71208139948463,42.65934000732446,37.639198218262806,,33.280602689065915,42.207507368465,80.51224944320712,,77.79381126764187,82.97074935885672,98.88641425389754,,97.419989904477,99.52343067880162,62.1380846325167,,57.566526731842856,66.50370753598713,61.46993318485523,,,,0.6681514476614699,,0.3065690144914669,1.4499990236878195,0.0,,4.336808689942018e-17,0.4259572215406312
primary_balanced,SFT Balanced,1,SFT_balanced,,91.31403118040089,,88.34609670431136,93.58103094123845,89.086859688196,,85.86439080901583,91.64618009014318,90.20044543429844,,,,87.08240534521158,,83.66276609099906,89.87290373640819,87.08240534521158,,83.66276609099906,89.87290373640819,51.11358574610245,,47.84637842296281,54.371306271434946,91.31403118040089,,88.34609670431136,93.58103094123845,10.913140311804009,,8.353819909856833,14.135609190984177,2.2271714922048997,,,,0.0,,4.336808689942018e-17,0.4259572215406312,0.0,,4.336808689942018e-17,0.4259572215406312
primary_balanced,GRPO Acc-only Balanced,3,EXP-006b_accuracy_balanced;EXP-006b_accuracy_balanced_s2;EXP-006b_accuracy_balanced_s3,,83.96436525612472,1.7677625686400424,,,80.84632516703786,1.3547355301332353,,,82.40534521158129,1.5470427605177972,,,84.4097995545657,0.44543429844098315,,,83.51893095768375,0.22271714922049157,,,50.29695619896065,0.4636227170303202,,,83.96436525612472,1.7677625686400424,,,16.629547141796586,1.1428956435293738,,,2.3014105419450632,1.2266304114222946,,,2.1900519673348184,0.32146451513898977,,,0.0,0.0,,
primary_balanced,GRPO Decisive Balanced,3,EXP-007b_decisive_balanced;balanced_decisive_s2;balanced_decisive_s3,,82.92501855976244,0.5604925341700642,,,79.88121752041573,1.482923857122356,,,81.40311804008908,0.8407388012550907,,,83.37045285820341,1.4318709370442373,,,82.33110616184113,1.4490884406787798,,,50.11135857461024,0.5103090974338347,,,82.92501855976244,0.5604925341700642,,,17.297698589458054,0.7159354685221209,,,2.4498886414253898,1.4604540143211584,,,2.4498886414253898,0.8030181014396416,,,0.03711952487008166,0.06429290302779797,,
primary_balanced,GRPO Conf.-proxy Balanced,3,EXP-008b_calib_balanced;balanced_calib_s2;balanced_calib_s3,,83.44469190794358,1.0525201840206235,,,79.51002227171492,0.9708015464455861,,,81.47735708982925,0.94709360224002,,,82.99925760950259,1.2664233191708973,,,81.9599109131403,1.3363028953229383,,,50.48255382331106,0.4636227170303215,,,83.44469190794358,1.0525201840206235,,,17.520415738678544,0.4636227170303182,,,3.0438010393466963,0.7821569230031731,,,2.524127691165553,0.4500503211945859,,,0.0,0.0,,
primary_balanced,GRPO Full Balanced,5,EXP-009b_full_balanced;EXP-009b_full_balanced_s2;EXP-009b_full_balanced_s3;balanced_full_s4;balanced_full_s5,,83.69710467706012,1.1068840659054944,,,81.42538975501114,1.625987728146458,,,82.56124721603564,0.7779175588673937,,,84.00890868596882,0.7618098608680194,,,83.34075723830735,0.9885229853528817,,,49.9554565701559,1.0374890600313695,,,83.69710467706012,1.1068840659054944,,,16.213808463251674,1.2539588650565028,,,1.469933184855234,2.1742030934282015,,,1.9599109131403119,0.44959085162998536,,,0.0,0.0,,
external,JudgeLRM-7B,1,judgelrm_7b,,81.29175946547885,,77.42469430443273,84.62792798235837,66.14699331848553,,61.64945034835767,70.37058606297582,73.71937639198218,,,,75.7238307349666,,71.55064303783799,79.46058738297604,71.93763919821826,,67.6091242583963,75.89395969355334,53.11804008908686,,49.847812973136804,56.36170417117692,81.29175946547885,,77.42469430443273,84.62792798235837,24.94432071269488,,21.165981389348552,29.147755213754667,13.3630289532294,,,,7.57238307349666,,6.0170408560958455,9.489172287349545,0.4454342984409799,,0.17335294583041344,1.1396781534693212
external,JudgeLRM-3B,1,judgelrm_3b,,76.83741648106904,,72.71751931344575,80.5019894805637,55.90200445434298,,51.278696114670076,60.42517926326559,66.36971046770601,,,,67.92873051224944,,63.47502681867332,72.07825498977284,66.59242761692651,,62.10519352076995,70.79815423984171,56.6815144766147,,53.41892637980028,59.887181786586275,76.83741648106904,,72.71751931344575,80.5019894805637,36.525612472160354,,32.20365351388663,41.07617817044889,15.367483296213807,,,,5.233853006681515,,3.9585653619077914,6.890509923302307,0.0,,4.336808689942018e-17,0.4259572215406312
